Overall AQI Value,Ozone,PM25,NO2
82,64,82,77
55,45,55,48
38,34,38,33
58,39,26,58
55,50,55,45
53,43,53,43
49,39,47,49
80,80,80,50
154,154,101,69
104,100,104,58
151,151,88,69
56,44,56,33
64,64,52,54
100,100,74,65
161,161,116,64
126,126,100,62
53,44,53,43
43,39,32,41
115,115,57,45
143,143,94,70
156,156,91,64
108,108,59,60
122,122,70,58
77,77,56,49
41,35,18,34
85,41,58,34
43,42,36,25
69,67,53,69
80,48,80,63
56,36,49,42
71,39,48,53
101,77,62,66
92,87,65,72
96,90,75,80
102,90,102,68
108,108,107,54
119,119,107,53
103,74,103,62
119,119,101,39
59,45,59,41
55,38,55,53
70,51,43,70
97,97,63,71
122,122,87,87
61,29,61,38
60,38,45,42
87,87,71,58
108,34,66,43
73,39,51,73
114,49,81,58
66,29,53,36
61,36,42,61
56,28,40,28
79,20,79,25
61,31,59,42
56,28,44,42
72,30,52,72
58,26,58,49
83,21,62,44
56,32,56,42
71,34,39,40
105,41,54,100
61,45,48,61
91,61,65,71
109,39,109,63
97,40,97,54
64,44,64,41
56,35,56,45
74,44,62,74
104,36,87,48
64,35,52,46
48,32,37,48
87,34,54,57
58,36,58,49
55,38,55,44
62,58,52,62
97,31,73,46
53,28,53,39
103,26,40,50
80,31,80,63
62,23,62,40
51,13,51,31
70,21,70,44
36,22,33,28
34,19,31,34
54,42,54,43
62,24,62,35
43,19,43,24
68,20,68,22
40,19,40,23
55,19,55,42
68,16,68,42
49,23,49,48
87,30,66,48
64,27,56,44
57,28,57,45
79,17,79,43
78,6,78,37
74,25,58,27
85,24,82,45
56,15,56,42
55,13,55,24
56,7,56,25
90,17,90,36
66,18,66,43
80,21,80,43
47,18,45,47
61,28,42,45
76,24,76,35
66,27,66,23
44,24,31,31
59,21,59,44
62,16,62,39
67,26,67,41
103,29,103,40
52,21,52,28
56,28,38,33
100,27,92,45
66,31,54,48
44,27,38,44
59,17,59,36
51,27,51,37
59,17,59,44
70,15,70,42
98,13,98,35
82,13,82,55
80,17,80,35
71,19,71,41
71,17,65,71
64,27,64,60
70,19,70,44
73,15,73,44
54,19,54,34
65,18,65,40
103,18,103,42
123,23,123,45
72,19,72,42
75,22,35,36
73,9,73,42
148,14,148,42
110,22,110,42
52,22,52,40
72,15,72,64
47,17,47,36
51,19,44,30
54,20,54,43
59,20,42,46
62,23,62,42
84,15,84,37
64,12,64,37
97,22,55,34
53,27,53,18
68,21,68,38
62,27,62,51
80,19,80,55
64,29,48,64
63,29,55,63
81,19,72,41
51,18,44,33
63,18,63,36
85,25,74,44
91,28,62,46
71,32,56,69
94,18,94,45
67,19,67,37
109,25,109,33
114,27,114,61
75,26,75,68
68,26,68,52
113,30,108,40
55,19,52,50
54,31,54,47
56,33,56,42
57,30,57,43
91,27,83,48
85,24,66,41
80,19,80,77
71,24,64,65
103,20,95,52
75,31,73,50
99,16,65,62
100,27,100,52
74,36,72,74
46,30,40,38
89,30,89,62
98,35,98,48
73,32,73,51
76,33,76,60
86,33,86,51
91,27,64,74
118,29,118,62
77,29,77,53
95,39,45,58
63,38,63,56
73,34,40,73
120,24,120,69
147,27,147,83
124,30,124,68
72,32,72,52
137,37,137,51
117,30,65,52
83,21,83,52
94,40,94,42
78,42,46,78
64,34,64,47
105,26,105,52
76,27,76,54
64,42,64,48
56,34,53,56
67,25,67,55
95,24,95,51
109,19,109,34
52,29,33,49
48,32,48,44
139,40,81,38
107,38,82,51
54,41,49,54
71,35,70,71
80,23,52,41
69,31,69,52
82,32,82,72
80,41,64,29
52,42,52,46
61,38,61,47
86,17,86,60
103,25,84,68
83,28,83,66
122,44,93,42
70,41,45,39
70,38,63,50
89,41,89,56
81,32,81,80
70,28,70,53
64,30,56,64
57,31,57,45
58,47,58,29
71,42,54,71
73,33,73,70
53,39,53,42
46,46,46,46
89,43,51,47
124,46,91,50
45,44,36,29
55,46,46,55
90,71,75,68
79,54,64,79
164,46,82,47
96,43,85,64
60,40,58,60
59,41,32,33
133,36,54,34
174,41,47,42
113,48,72,67
91,74,76,62
105,105,63,86
115,87,62,61
71,71,63,47
96,42,55,47
64,39,64,36
113,40,55,42
51,39,31,51
67,44,64,67
101,51,81,74
42,40,42,37
126,44,56,40
81,44,40,52
77,77,56,44
96,87,61,55
77,43,77,49
43,43,30,38
41,41,25,41
112,42,58,49
58,47,51,58
59,48,48,57
90,90,83,81
46,46,38,36
81,77,63,57
64,61,64,50
74,74,70,60
77,77,71,67
67,51,67,47
58,35,52,58
52,21,33,52
34,32,26,33
71,48,53,61
68,51,66,68
54,47,48,51
62,48,52,62
68,51,66,68
70,46,70,60
54,40,54,44
53,45,53,35
107,40,43,31
76,40,61,56
76,35,43,46
63,51,59,63
43,41,23,43
61,61,45,46
67,48,67,54
45,39,23,45
64,43,28,44
91,35,51,46
42,39,30,42
64,54,45,64
145,122,85,71
100,100,77,69
108,108,84,58
118,61,80,52
53,47,53,47
44,25,44,43
62,27,62,38
97,97,42,46
61,61,44,46
105,71,53,44
87,87,58,66
61,43,61,49
66,51,66,52
86,71,74,74
91,33,21,48
58,48,58,53
67,39,58,56
85,42,76,54
102,48,57,63
62,37,41,62
106,41,43,55
141,43,57,58
147,47,60,50
67,42,56,67
87,51,59,60
84,84,60,70
136,136,67,77
156,156,75,62
64,61,64,41
94,48,94,31
68,44,68,19
77,54,37,77
51,27,33,51
77,50,64,40
54,45,54,40
77,77,62,32
97,97,71,47
126,126,59,73
74,51,27,67
111,51,111,54
101,61,61,76
101,50,53,101
88,48,88,21
80,45,80,37
76,61,76,72
179,179,89,82
83,51,83,70
64,48,20,64
57,34,30,45
39,39,28,27
54,45,49,20
62,58,55,62
119,90,74,67
93,93,80,72
97,97,94,79
100,51,90,77
71,71,62,66
77,77,70,67
101,101,58,85
122,122,32,70
80,38,41,80
61,36,35,49
49,41,48,49
101,51,69,55
101,97,68,51
86,64,67,67
61,18,61,42
50,22,29,37
57,32,51,57
56,38,53,39
50,39,50,33
63,45,63,44
81,58,74,81
91,74,66,91
86,48,68,61
39,33,37,39
58,36,58,48
95,47,55,48
71,54,67,50
87,87,78,37
69,39,69,40
54,28,49,54
59,39,59,45
60,42,60,53
40,40,38,36
30,30,25,29
90,36,66,61
146,45,78,61
84,84,70,83
126,126,74,61
133,90,133,60
112,112,109,63
124,97,124,54
84,40,84,37
73,36,73,40
79,31,25,35
64,32,64,33
63,44,63,61
112,112,66,65
151,151,95,71
93,93,82,70
77,77,74,58
73,44,73,47
104,44,47,42
60,40,38,42
56,49,56,46
49,49,45,48
62,61,52,62
84,80,81,79
105,105,83,83
129,129,84,80
110,45,74,58
124,40,48,49
64,43,43,64
81,44,80,81
100,31,48,65
53,39,40,53
75,38,75,68
70,50,70,60
97,30,58,43
114,40,46,42
116,27,56,42
82,30,61,46
144,37,68,64
74,74,65,72
79,31,79,46
137,35,70,83
62,35,41,43
53,43,53,50
58,35,58,43
78,36,78,53
62,24,62,49
67,20,59,33
72,25,26,22
56,27,43,47
62,27,62,39
59,21,59,25
57,31,57,39
63,33,63,36
84,27,84,37
58,29,58,27
57,33,55,51
65,40,65,63
89,22,89,52
96,30,96,46
128,18,128,41
70,26,64,42
44,27,32,23
43,28,39,30
44,20,44,28
41,28,33,41
42,30,35,42
100,22,79,40
101,27,65,48
47,22,47,47
57,34,56,35
54,24,47,50
59,21,53,48
101,22,73,67
80,31,80,33
47,34,36,41
60,34,40,60
82,21,82,42
95,7,57,45
88,7,88,47
96,6,96,56
84,25,84,40
71,25,71,42
54,20,54,25
118,20,66,31
73,12,73,46
78,27,78,34
103,32,50,32
89,21,52,46
66,19,63,42
45,21,45,30
52,24,43,41
85,13,85,43
62,22,62,32
72,19,72,35
84,19,84,46
80,14,70,50
61,15,56,41
91,17,91,48
72,14,72,45
71,16,71,34
68,15,68,40
95,6,95,44
74,20,74,29
81,23,81,28
100,25,40,23
152,24,152,36
103,22,103,47
92,17,66,33
113,20,49,35
67,19,67,47
75,28,61,35
106,30,106,40
65,18,65,40
62,20,62,30
103,24,52,48
151,26,151,41
67,24,48,67
66,19,66,30
126,30,126,40
105,17,105,63
79,11,79,45
121,9,121,55
101,21,101,35
55,20,48,28
57,19,57,23
39,13,37,27
62,29,62,36
55,32,55,33
36,32,14,24
71,31,71,46
84,19,84,44
82,17,82,33
66,18,66,26
67,18,67,41
61,12,61,61
76,19,41,38
117,26,117,42
122,28,79,57
163,29,61,41
116,31,116,37
87,29,87,47
72,19,66,72
67,26,67,44
77,32,77,38
61,32,61,41
91,31,64,45
54,31,47,51
77,20,65,72
106,20,106,87
59,38,59,40
55,37,45,55
101,25,101,49
94,11,94,64
76,25,60,76
153,22,153,72
86,31,86,63
142,19,142,81
155,21,155,88
154,16,154,78
111,29,111,40
96,16,96,37
67,27,67,42
53,28,53,47
83,28,83,56
112,31,112,47
81,27,81,50
123,26,93,42
75,26,75,41
44,19,33,42
79,25,79,48
71,28,58,42
93,31,93,41
106,30,71,51
57,24,50,37
56,23,56,37
73,19,73,50
74,33,74,67
93,27,81,93
95,34,95,63
91,37,91,53
50,39,50,43
87,31,87,38
156,32,156,48
186,36,186,76
131,37,131,50
81,35,81,63
104,25,104,97
94,40,94,45
62,40,56,47
56,40,56,42
75,39,56,55
71,39,67,60
71,26,60,56
100,34,100,52
101,37,101,42
110,41,55,57
79,32,79,72
76,35,76,46
112,41,67,63
64,42,64,47
86,43,86,53
84,34,84,33
63,44,63,55
63,41,61,63
49,44,49,48
51,44,51,51
71,37,71,63
59,37,59,50
75,36,75,50
63,39,63,62
78,48,65,78
80,46,77,80
58,47,58,56
57,40,48,57
70,40,58,70
66,44,66,49
79,54,79,53
80,80,76,68
66,64,66,55
86,48,59,86
50,47,38,50
63,50,25,63
66,58,52,66
119,119,92,65
80,77,54,49
46,43,38,45
71,47,55,48
102,51,35,83
87,49,44,87
81,64,74,74
108,108,88,87
128,119,93,95
100,84,85,65
54,37,54,35
58,43,36,58
47,45,47,37
47,47,31,47
45,44,44,45
60,58,36,60
45,38,32,45
115,43,50,35
132,41,62,48
52,45,41,52
77,48,63,57
52,35,52,34
66,31,48,31
54,45,53,54
73,64,73,63
101,101,68,78
77,77,67,73
82,51,65,65
147,147,62,52
67,51,61,55
71,71,52,63
52,46,45,47
42,42,24,37
75,46,75,53
82,44,35,40
40,28,39,33
54,40,54,43
71,71,55,62
100,100,62,53
109,49,109,56
119,67,61,58
87,87,65,73
99,77,99,71
117,45,84,47
57,43,52,57
65,44,45,65
68,47,53,68
62,43,62,55
59,39,59,49
110,42,54,46
91,84,57,52
77,49,49,66
97,97,58,60
80,80,67,48
98,50,98,53
93,93,74,46
82,80,72,36
84,84,37,70
151,151,64,73
97,97,66,68
74,74,66,62
101,101,68,55
87,87,63,36
60,46,60,32
126,126,79,65
50,48,32,50
66,29,66,38
103,46,103,44
50,29,26,50
36,34,28,27
74,74,48,43
151,151,63,71
136,136,73,70
97,51,62,66
156,156,80,61
150,150,101,67
208,208,98,62
161,161,87,48
197,197,150,73
164,164,109,71
164,164,84,68
122,122,98,55
49,40,33,22
44,44,39,33
112,112,64,50
86,61,86,45
61,61,55,32
86,67,56,32
80,80,44,46
112,112,50,42
169,169,89,66
203,203,73,68
166,166,79,64
159,159,96,41
66,64,66,66
93,93,71,56
88,49,66,88
150,150,73,42
174,174,94,42
90,77,60,54
105,105,56,51
65,44,58,65
87,87,58,64
108,108,56,47
54,49,54,42
115,115,81,34
80,80,63,71
50,50,38,45
48,39,45,40
62,54,57,62
70,54,48,58
129,129,63,69
108,108,71,51
179,179,88,80
169,169,140,70
107,97,107,69
84,84,75,65
69,51,40,69
112,112,53,61
159,159,80,72
156,156,111,81
187,187,105,69
108,108,76,52
74,40,63,74
68,64,68,55
44,44,44,41
51,38,45,51
69,64,69,54
119,119,81,55
108,108,84,102
81,47,81,50
90,90,62,52
77,44,54,51
52,45,52,38
39,32,22,39
39,39,38,33
49,45,49,49
84,84,64,46
115,115,96,68
75,54,75,51
75,64,55,47
80,80,62,52
90,71,67,60
53,43,53,43
113,44,53,54
65,44,61,65
57,49,57,47
87,54,63,37
105,105,62,55
126,126,91,70
143,126,111,73
100,100,75,51
108,108,85,61
150,150,115,56
154,154,152,62
156,156,123,86
97,97,96,68
39,39,36,34
41,33,41,33
57,35,49,42
65,46,58,42
112,67,60,53
73,41,73,55
74,61,54,74
114,84,64,83
80,74,80,60
79,33,23,33
64,31,64,42
77,24,77,34
58,31,58,54
57,36,57,50
79,42,79,60
58,24,58,39
